Field1_links,image_url,superficie,prix,adresse
https://sn.coinafrique.com/annonce/terrains/terrains-354m-dakar-4732621,https://images.coinafrique.com/thumb_4732621_uploaded_image1_1715172309.jpg,354 ,11 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-258m-mermoz-sacre-coeur-4731369,https://images.coinafrique.com/thumb_4731369_uploaded_image1_1715106879.jpg,258 ,180 000 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-214-m2-keur-massar-4780847,https://images.coinafrique.com/thumb_4780847_uploaded_image1_1717590525.jpg,214 ,25 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-jumeles-225-m2-malicounda-keur-malick-ba-4734158,https://images.coinafrique.com/thumb_4734158_uploaded_image1_1715247867.jpg,225 m2,2 500 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-60-ha-tf-diass-4734120,https://images.coinafrique.com/thumb_4734120_uploaded_image1_1715246610.jpg,60000 m2,35 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-a-lac-rose-niague-4779926,https://images.coinafrique.com/thumb_4779926_uploaded_image1_1717543795.jpg,150 m2,10 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-4779922,https://images.coinafrique.com/thumb_4779922_uploaded_image1_1717543649.jpg,150 m2,10 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-maison-a-demolir-189m-soprim1-4779921,https://images.coinafrique.com/thumb_4779921_uploaded_image1_1717543577.jpg,189 m2,80 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-4333-m2-petit-mbao-4779906,https://images.coinafrique.com/thumb_4779906_uploaded_image1_1717542828.jpg,4333 m2,600 000 000 CFA,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-200m-thies-4779001,https://images.coinafrique.com/thumb_4779001_uploaded_image1_1717507259.jpg,200 ,1 200 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-20-ha-pointe-sarene-4732576,https://images.coinafrique.com/thumb_4732576_uploaded_image1_1715171196.jpg,200000 m2,40 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-2-6-ha-daga-kholpa-4732589,https://images.coinafrique.com/thumb_4732589_uploaded_image1_1715171608.jpg,26341 m2,30 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-300m-mbour-4732477,https://images.coinafrique.com/thumb_4732477_uploaded_image1_1715169352.jpg,300 m2,10 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-2-ha-mbour-4732457,https://images.coinafrique.com/thumb_4732457_uploaded_image1_1715168961.jpg,17722 m2,40 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/parcelles-assenie-4778539,https://images.coinafrique.com/thumb_4778539_uploaded_image1_1717495090.jpg,160 m2,50 000 000 CFA,"Parcelle Assainies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-darou-thioub-4777390,https://images.coinafrique.com/thumb_4777390_uploaded_image1_1717436633.jpg,213 m2,9 500 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-3993m-fann-4777118,https://images.coinafrique.com/thumb_4777118_uploaded_image1_1717428837.jpg,3993 ,8 000 000 000 CFA,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-zac-mbao-4776308,https://images.coinafrique.com/thumb_4776308_uploaded_image1_1717403861.jpg,150 ,25 000 000 CFA,"Mbao, Dakar, Sénégal"
