Field1_links,nb_piece,nb_bains,superficie,adresse
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sicap-keur-massar-4521126,3,6,160 ,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-cite-apix-vdn-3-4520791,3,6,150 ,"Cambérène, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-yoff-4520785,12,24,465 ,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-yoff-4521466,8250000,16500000,275000000 ,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-keur-massar-4565941,3,6,150 m2,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-30-pieces-toubab-dialao-4523792,24,48,800 ,"Toubab Dialao, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-sacre-coeur-4520686,3,,178 ,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pices-balacoss-saint-louis-4565521,6,12,240 m2,"Saint Louis, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-r2-keur-massar-4565217,3,6,150 m2,"Almadies 2, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4564121,3,6,150 ,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-ouest-foire-4563128,3,6,150 ,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-mbour-4562881,,,,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-11-pieces-almadies-4514963,30,60,1000 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-keur-massar-4562455,,,,"Dakar, Sénégal"
